ilAglIoxx1.1;ERR6286702;GCA_905147045.1;GCA_905147125.1;
ilApaSord1.1;ERR10890690;GCA_945859715.1;GCA_945859755.1;
ilPyrNigr1.1;ERR11242528;GCA_949316185.1;GCA_949316215.1;
ilAgrTris1.1;ERR10123659;GCA_928269145.1;GCA_928269205.1;
ilGanPyra1.1;ERR12708732;GCA_947859175.1;GCA_947859165.1;
iyAndBuce1.1;ERR10890704;GCA_947577245.1;GCA_947577235.1;
ilSpiUrti1.1;ERR12765158;GCA_964188045.1;GCA_964188145.1;
ilAmpOcul1.1;ERR10890686;GCA_945859645.1;GCA_945859585.1;
ilCatSpon1.1;ERR12765150;GCA_963564715.1;GCA_963565385.1;
ilGriApri1.1;ERR9435004;GCA_916610205.1;GCA_916610245.1;
icRhaMord1.1;ERR14792807;GCA_963680705.1;GCA_963680695.1;
ilHypRect1.1;ERR11837481;GCA_951799385.1;GCA_951799375.1;
idEupLati1.1;ERR9435022;GCA_920104205.1;GCA_920104105.1;
idNepScut1.1;ERR12245520;GCA_947095585.1;GCA_947095595.1;
ilTheBrit1.2;ERR9580478;GCA_939531255.2;GCA_939531245.2;
ilAgrLota1.1;ERR11641100;GCA_947364205.1;GCA_947364295.1;
ilLeuSali1.1;ERR11242516;GCA_948253155.1;GCA_948248055.1;
ilXesSexs1.2;ERR9503454;GCA_941918905.2;GCA_941918865.2;
ilAlcRepa2.1;ERR12765126;GCA_949125135.1;GCA_949125585.1;
ilLupNick1.1;ERR13093646;GCA_963855955.1;GCA_963855935.1;
ilDiaMend1.1;ERR10908615;GCA_949125395.1;GCA_949125405.1;
ilPolFlav1.1;ERR11242534;GCA_949987655.1;GCA_949987755.1;
ilDenPini1.1;ERR12765139;GCA_949752895.1;GCA_949752875.1;
idBraLaph1.1;ERR10890687;GCA_945910035.1;GCA_945910015.1;
idGymRotn1.2;ERR10123653;GCA_916610165.2;GCA_916610175.2;
ilHecDyso1.2;ERR6464926;GCA_905332915.2;GCA_905332925.1;
ilCosPyra2.1;ERR10890695;GCA_946251885.1;GCA_946251865.1;
ilCarClav1.1;ERR8571686;GCA_932526535.1;GCA_932526345.1;
iyCryArma1.1;ERR13093634;GCA_963971235.1;GCA_963971315.1;
ilDreFalc1.1;ERR10890694;GCA_945859725.1;GCA_945859695.1;
ilUdeFerr1.1;ERR12245550;GCA_950022985.1;GCA_950022945.1;
ilLitLeau1.1;ERR11242523;GCA_949152455.1;GCA_949152515.1;
ilOrtInce1.1;ERR11606294;GCA_948252205.1;GCA_948253185.1;
icAmpSols1.1;ERR12862076;GCA_963170755.1;GCA_963170735.1;
iyAndTrim1.1;ERR10395992;GCA_951215215.1;GCA_951212825.1;
ilLysCori1.1;ERR6286713;GCA_905220515.1;GCA_905220525.1;
ilThoDeci1.2;ERR9682497;GCA_943138885.2;GCA_943138005.2;
icPteNige1.1;ERR11641105;GCA_947425015.1;GCA_947425025.1;
icCarProb1.1;ERR12035190;GCA_963422195.1;GCA_963422185.1;
ilAbrTril1.1;ERR10890699;GCA_946251915.1;GCA_946251925.1;
iyVesGerm1.1;ERR6286717;GCA_905340365.1;GCA_905340295.1;
ilApaCren1.1;ERR11641128;GCA_949629185.1;GCA_949629175.1;
ilApaSubl1.1;ERR14792843;GCA_964263905.1;GCA_964264035.1;
idHydCyrt1.1;ERR10378037;GCA_958296145.1;GCA_958295795.1;
ilLitOrni1.1;ERR11242517;GCA_948473465.1;GCA_948473405.1;
ilLomBima1.1;ERR11242511;GCA_948107665.1;GCA_948107675.1;
ilLymMona1.2;ERR6286706;GCA_905163515.2;GCA_905163525.1;
ilCatNupt1.1;ERR12765149;GCA_963675205.1;GCA_963675195.1;
ilBisStrt2.1;ERR12245551;GCA_950106695.1;GCA_950106675.1;
ilAcrAlni1.1;ERR14792828;GCA_964056405.1;GCA_964056265.1;
ilTilAura1.1;ERR11641109;GCA_948098905.1;GCA_948098875.1;
ilAgrLitu1.1;ERR12035178;GCA_949152395.1;GCA_949152425.1;
ilAcrPsix1.1;ERR10890701;GCA_946251955.1;GCA_946251945.1;
ilSynForm1.1;ERR10890685;GCA_945859745.1;GCA_945859765.1;
ilMytLalu1.1;ERR12708740;GCA_949319445.1;GCA_949320055.1;
ilAntChix2.1;ERR10890705;GCA_947359405.1;GCA_947359415.1;
ilCalDomi2.1;ERR12245540;GCA_949752705.1;GCA_949752685.1;
ilSynMyop1.1;ERR10123709;GCA_944738685.1;GCA_944738625.1;
ilPolLich1.1;ERR12708741;GCA_949091785.1;GCA_948532955.1;
iyDolMedi1.1;ERR6286736;GCA_911387685.1;GCA_911387715.2;
ilFurFurc1.1;ERR9434990;GCA_911728495.1;GCA_911728485.2;
ilEupSimi1.2;ERR6286704;GCA_905147225.2;GCA_905147215.1;
ilIdaStra1.1;ERR12245560;GCA_951213275.1;GCA_951215995.1;
ilEpiTris1.1;ERR11837486;GCA_951394285.1;GCA_951394275.1;
ilDryLabe1.1;ERR11641114;GCA_947523025.1;GCA_947522625.1;
ilXesAshw1.1;ERR12035184;GCA_950022955.1;GCA_950022645.1;
ilTetFluc1.1;ERR12245566;GCA_951216915.1;GCA_951216625.1;
idPolLabi1.1;ERR12765132;GCA_949318255.1;GCA_949318245.1;
iyPimRufi1.1;ERR13093629;GCA_963932165.1;GCA_963932415.1;
ilAgrAura1.1;ERR9435002;GCA_914767915.1;GCA_914767795.1;
ilNomNoct1.1;ERR12862079;GCA_958496325.1;GCA_958496345.1;
iyBomHort1.1;ERR6001535;GCA_905332935.1;GCA_905333095.1;
ilMytPall1.1;ERR12862078;GCA_961205895.1;GCA_961205865.1;
iyAndFulv1.1;ERR10890692;GCA_946251845.1;GCA_946251835.1;
ilNotDrom1.1;ERR6286708;GCA_905147325.1;GCA_905147855.1;
ilChlSite2.1;ERR8571653;GCA_932294275.1;GCA_932294285.1;
ilSynTipu2.1;ERR11606295;GCA_947623395.1;GCA_947623135.1;
idLinTess1.1;ERR11242525;GCA_951800035.1;GCA_951800015.1;
ilMytImpu1.3;ERR6286707;GCA_905147345.3;GCA_905147275.2;
iyNysSpin1.2;ERR6286722;GCA_910591585.2;GCA_910591465.1;
ilThaProc3.1;ERR14986756;GCA_965614485.1;GCA_965614445.1;
icHarRufp1.1;ERR12765135;GCA_951394225.1;GCA_951394325.1;
ilBolEuph2.2;ERR12321226;GCA_951802675.2;GCA_951802665.2;
idCraPall2.1;ERR12765125;GCA_949710015.1;GCA_949710075.1;
idTacLuri1.1;ERR10123707;GCA_944452675.1;GCA_944452685.1;
icArhRust1.1;ERR13363427;GCA_964213965.2;GCA_964213945.2;
ilCloCurt1.2;ERR9434970;GCA_905475355.2;GCA_905475325.1;
iyAndPrae1.1;ERR11641113;GCA_963932275.1;GCA_963932255.1;
ilDiaMeni1.1;ERR11242513;GCA_949316265.1;GCA_949316465.1;
ilLymDisp1.1;ERR14792819;GCA_963576585.1;GCA_963576575.1;
ilApoNigr3.1;ERR10908611;GCA_947507805.1;GCA_947458395.1;
ilCerLeuc1.1;ERR11837501;GCA_963082945.1;GCA_963082855.1;
ihGerLacu2.1;ERR12245542;GCA_951217055.1;GCA_951217045.1;
ilAbrSylv1.1;ERR12374377;GCA_964187985.1;GCA_964188205.1;
iyAnoNige1.1;ERR9434992;GCA_914767735.1;GCA_914767785.2;
idProTerr1.1;ERR11837465;GCA_951394005.1;GCA_951394085.1;
ilPheGnom1.1;ERR9434972;GCA_905404115.1;GCA_905404125.1;
idNepAppe1.1;ERR10378025;GCA_947310385.1;GCA_947311015.1;
ilLimCami1.1;ERR6286705;GCA_905147385.1;GCA_905147315.1;
iyAndHelv1.1;ERR13093624;GCA_964234935.1;GCA_964234915.1;
icLocCapr1.1;ERR11242519;GCA_949126875.1;GCA_949126855.1;
icGeoSpin1.1;ERR11837497;GCA_959613385.1;GCA_959613335.1;
iyAndMarg1.1;ERR12035185;GCA_963932335.1;GCA_963932365.1;
ilDeiElpe2.1;ERR11242530;GCA_949752805.1;GCA_949752825.1;
ilHydFurc1.1;ERR9434989;GCA_912999785.1;GCA_912999755.1;
idEmpLivi1.1;ERR10378001;GCA_963932195.1;GCA_963932305.1;
ilLitSemi2.1;ERR11606286;GCA_947363905.1;GCA_947363655.1;
ilLycHirt1.1;ERR11606288;GCA_947563715.1;GCA_947563705.1;
ilHypPunc1.1;ERR11641124;GCA_949316475.1;GCA_949316335.1;
ilCheLega1.1;ERR11641099;GCA_947359385.1;GCA_947359375.1;
idProAzur1.1;ERR10123665;GCA_932274085.1;GCA_932273785.1;
iyBomMont4.1;ERR12102410;GCA_965178685.1;GCA_965178715.1;
ilHopAmbi1.1;ERR12245544;GCA_949774945.1;GCA_949774985.1;
ilAmpTrag2.1;ERR6286712;GCA_905220435.1;GCA_905220425.1;
icPhiSpin1.1;ERR12862075;GCA_963082785.1;GCA_963082675.1;
ilDryErem1.1;ERR9435006;GCA_917490735.1;GCA_917490515.1;
iyRhoChlo1.1;ERR10123702;GCA_944452935.1;GCA_944452905.1;
idNeoCyan1.1;ERR12765112;GCA_947538895.1;GCA_947538905.1;
ilLacOler1.1;ERR11837482;GCA_950371165.1;GCA_950370565.1;
idSarCaer1.1;ERR10123661;GCA_927399465.1;GCA_927399425.1;
ilHydMica1.1;ERR9435008;GCA_914767645.1;GCA_914767565.1;
ilDilCaer1.1;ERR11606296;GCA_947459985.1;GCA_947459995.1;
ilHerTari1.2;ERR9881686;GCA_945859575.2;GCA_945859615.2;
iyAncNigr1.1;ERR9435000;GCA_916049575.1;GCA_916050135.1;
ilLupTest1.1;ERR10123663;GCA_927399505.1;GCA_927399495.1;
ilApoLima1.1;ERR10890696;GCA_946406115.1;GCA_946409105.1;
ilPolNebu2.1;ERR12035188;GCA_951329385.1;GCA_951329505.1;
ilAutPulc1.1;ERR6054590;GCA_905475315.1;GCA_905475435.1;
icHemNige1.1;ERR12245565;GCA_963082805.1;GCA_963082985.1;
iyAndHatt1.2;ERR10123693;GCA_944738655.2;GCA_944738785.2;
iyCerRyby1.1;ERR9434986;GCA_910591515.1;GCA_910591445.2;
idFerCupr2.1;ERR11837499;GCA_963576555.1;GCA_963576485.1;
iyNomFerr1.1;ERR11837534;GCA_963583965.1;GCA_963583955.1;
ilDicOoxx2.1;ERR12765123;GCA_948252095.1;GCA_948295755.1;
ilAcrLepo1.1;ERR11606287;GCA_947256265.1;GCA_947256475.1;
ilEupAuri2.1;ERR14986689;GCA_975146965.1;GCA_975147325.1;
ilFalLace1.1;ERR11837484;GCA_951449985.1;GCA_951449975.1;
idBomDisc1.1;ERR10123673;GCA_939192795.1;GCA_939192785.1;
ilTimComa1.1;ERR12862080;GCA_958496195.1;GCA_958496285.1;
icAgrMuri1.1;ERR12245508;GCA_929113105.1;GCA_929114945.1;
ilEilDepe1.1;ERR9434997;GCA_914767945.1;GCA_914767765.1;
ilEurOccu1.1;ERR12245547;GCA_950022335.1;GCA_950023035.1;
ilOchDupl1.1;ERR12245567;GCA_951361185.1;GCA_951361115.1;
ilGalMell1.1;ERR12861038;GCA_958496185.1;GCA_958496355.1;
ilMelPers1.1;ERR12642419;GCA_947386135.1;GCA_947386145.1;
ilAutGamm1.1;ERR6286703;GCA_905146925.1;GCA_905146835.1;
iyBomPrat1.1;ERR7113577;GCA_930367275.1;GCA_930367225.1;
ilDiaDahl1.1;ERR11641131;GCA_949775195.1;GCA_949775585.1;
ilApoLuen1.1;ERR8571651;GCA_932294355.1;GCA_932294405.1;
icMelMelo1.2;ERR10378008;GCA_935421215.2;GCA_935421255.1;
ilNymPoly1.2;ERR6286714;GCA_905220585.2;GCA_905220575.1;
idTacGros1.1;ERR11242527;GCA_949987645.1;GCA_949987635.1;
ilHelPelt1.1;ERR12862077;GCA_958496145.1;GCA_958496135.1;
idEriIntr1.1;ERR12245552;GCA_964034865.1;GCA_964034895.1;
ilColPena1.1;ERR13494029;GCA_964258875.1;GCA_964258755.1;
idCalVici1.1;ERR11641127;GCA_958450345.1;GCA_958301635.1;
ilAmpLuce6.1;ERR11641102;GCA_947508005.1;GCA_947507765.1;
ilOrtGrac1.1;ERR11606289;GCA_947562075.1;GCA_947563345.1;
ilAnaCroc1.1;ERR12035179;GCA_949315895.1;GCA_949316005.1;
iyPhyAter2.1;ERR10890711;GCA_963170745.1;GCA_963170765.1;
ilSphPina1.1;ERR10908606;GCA_947568825.1;GCA_947568845.1;
ilLigAdus1.1;ERR10890700;GCA_947049295.1;GCA_947049285.1;
ilAbrTrip1.1;ERR6054557;GCA_905340225.1;GCA_905340255.1;
iyAndFlav1.1;ERR15140882;GCA_963971345.1;GCA_963971385.1;
ilCybMeso1.1;ERR10890693;GCA_946251805.1;GCA_946251875.1;
ilApoHisp1.1;ERR12708736;GCA_947579745.1;GCA_947581315.1;
iyDolMeso1.1;ERR12071271;GCA_964273575.1;GCA_964273565.1;
idPhyMeln1.1;ERR10123691;GCA_941918925.1;GCA_941918875.1;
ilSpiLutu1.1;ERR9434998;GCA_916048165.1;GCA_916047975.1;
iyNomFuca1.1;ERR11242512;GCA_948146005.1;GCA_948145985.1;
ilNotZicz1.1;ERR9435014;GCA_918843915.1;GCA_918843885.1;
ilIdaDimi2.1;ERR12035175;GCA_949358125.1;GCA_949358575.1;
idStrSing1.1;ERR11641123;GCA_954870665.1;GCA_954871515.1;
ilEilCani1.1;ERR12765130;GCA_949126895.1;GCA_949126945.1;
idDasAlbo1.1;ERR10378022;GCA_946251815.1;GCA_946251825.1;
ilTriEmor1.1;ERR10890702;GCA_947095525.1;GCA_947095545.1;
ilPtiCapc1.1;ERR9434996;GCA_914767695.1;GCA_914767775.1;
ilPluFest1.1;ERR12245559;GCA_950381575.1;GCA_950370415.1;
ilEpiCost1.1;ERR13093655;GCA_964291015.1;GCA_964290975.1;
iyBomMusc1.1;ERR11837462;GCA_963971185.1;GCA_963971125.1;
iyTenLivi1.1;ERR12102380;GCA_963992785.1;GCA_963992795.1;
ilAstSphi1.1;ERR11641115;GCA_949699075.1;GCA_949699085.1;
idCheVari2.1;ERR12765136;GCA_951230905.1;GCA_951230875.1;
idCheVulp2.1;ERR9434995;GCA_916610125.1;GCA_916610195.1;
ilOchPlec1.1;ERR9434971;GCA_905475445.1;GCA_905475425.1;
idPhyRufi1.1;ERR10378017;GCA_963966595.1;GCA_963966585.1;
ilAnaPras2.1;ERR14379123;GCA_964194435.1;GCA_965132145.1;
ilDiaChry1.1;ERR10890679;GCA_932294365.1;GCA_932294375.1;
icOcyOlen1.2;ERR6286735;GCA_910593695.2;GCA_910593855.1;
idPolAngu1.1;ERR10123660;GCA_930367215.1;GCA_930374645.1;
ilHopBlan1.1;ERR12035177;GCA_949316365.1;GCA_949316325.1;
icLepQuad1.1;ERR14792813;GCA_963675555.1;GCA_963675865.1;
ilLacWlai2.1;ERR10908607;GCA_947578705.1;GCA_947579085.1;
ilApaAnce1.1;ERR11606300;GCA_951799955.1;GCA_951799985.1;
idStoLuna1.1;ERR10123679;GCA_933228675.1;GCA_933228635.1;
idSarRose1.1;ERR10123657;GCA_930367235.1;GCA_930367195.1;
ilSpiLubr1.1;ERR9434968;GCA_905220595.1;GCA_905220605.1;
idEutRufi1.1;ERR14792817;GCA_963920795.1;GCA_963920645.1;
ilAntDeri1.1;ERR12642417;GCA_947579855.1;GCA_947579405.1;
iyTenNoth1.2;ERR9434994;GCA_914767705.2;GCA_914767975.1;
iyDysLute2.1;ERR11271514;GCA_963669185.1;GCA_963669165.1;
ilAgrClav1.1;ERR11468751;GCA_954870645.1;GCA_954871455.1;
idPorMacu1.1;ERR12765121;GCA_949715645.1;GCA_949715845.1;
ilOrtGoth1.1;ERR10890698;GCA_949775005.1;GCA_949774995.1;
ilVenCamb1.1;ERR12035187;GCA_951394065.1;GCA_951394105.1;
idTolCing1.1;ERR11606298;GCA_959613345.1;GCA_959613395.1;
ilCatFrax1.1;ERR8373764;GCA_930367265.1;GCA_930367255.1;
idMacRust1.1;ERR11242522;GCA_951509405.1;GCA_951509505.1;
icAgrBigu1.1;ERR15140878;GCA_963921985.1;GCA_963921965.1;
ilDiaRubi1.1;ERR12642411;GCA_932274075.1;GCA_932274355.1;
ilAlsAesc1.1;ERR10378023;GCA_946251855.1;GCA_946251895.1;
ilLitSoci1.1;ERR11641112;GCA_947522985.1;GCA_947522845.1;
ilLaoPopu1.1;ERR9434967;GCA_905220505.1;GCA_905220495.1;
ilAplEffo1.1;ERR9435023;GCA_921293045.1;GCA_921293035.1;
ilCycAlbi1.1;ERR12862081;GCA_963082685.1;GCA_963082705.1;
idPedRivo1.1;ERR12861032;GCA_963082725.1;GCA_963082665.1;
idLeuLate1.2;ERR12642410;GCA_932273885.2;GCA_932273905.1;
ilSatPavo1.1;ERR11606290;GCA_947532125.1;GCA_947532135.1;
