ilLysCori1.1;ERR6286713;GCA_905220515.1;GCA_905220525.1;
ilThaProc3.1;ERR14986756;GCA_965614485.1;GCA_965614445.1;
icHarRufp1.1;ERR12765135;GCA_951394225.1;GCA_951394325.1;
icArhRust1.1;ERR13363427;GCA_964213965.2;GCA_964213945.2;
ilPheGnom1.1;ERR9434972;GCA_905404115.1;GCA_905404125.1;
idNepAppe1.1;ERR10378025;GCA_947310385.1;GCA_947311015.1;
ilLimCami1.1;ERR6286705;GCA_905147385.1;GCA_905147315.1;
iyAndHelv1.1;ERR13093624;GCA_964234935.1;GCA_964234915.1;
icGeoSpin1.1;ERR11837497;GCA_959613385.1;GCA_959613335.1;
ilHydFurc1.1;ERR9434989;GCA_912999785.1;GCA_912999755.1;
idEmpLivi1.1;ERR10378001;GCA_963932195.1;GCA_963932305.1;
ilAmpTrag2.1;ERR6286712;GCA_905220435.1;GCA_905220425.1;
ilEupAuri2.1;ERR14986689;GCA_975146965.1;GCA_975147325.1;
ilEurOccu1.1;ERR12245547;GCA_950022335.1;GCA_950023035.1;
ilLitSoci1.1;ERR11641112;GCA_947522985.1;GCA_947522845.1;
idPedRivo1.1;ERR12861032;GCA_963082725.1;GCA_963082665.1;
ilHabPyri1.1;ERR9434975;GCA_907165245.1;GCA_907165225.1;
